best m,c is 1.600000,12.310000 with error 14.313523 in direction 0
best m,c is 1.600000,12.320000 with error 14.309831 in direction 0
best m,c is 1.600000,12.330000 with error 14.306145 in direction 0
best m,c is 1.600000,12.340000 with error 14.302464 in direction 0
best m,c is 1.600000,12.350000 with error 14.298790 in direction 0
best m,c is 1.600000,12.360000 with error 14.295122 in direction 0
best m,c is 1.600000,12.370000 with error 14.291460 in direction 0
best m,c is 1.600000,12.380000 with error 14.287804 in direction 0
best m,c is 1.600000,12.390000 with error 14.284154 in direction 0
best m,c is 1.600000,12.400000 with error 14.280510 in direction 0
best m,c is 1.600000,12.410000 with error 14.276872 in direction 0
best m,c is 1.600000,12.420000 with error 14.273240 in direction 0
best m,c is 1.600000,12.430000 with error 14.269615 in direction 0
best m,c is 1.600000,12.440000 with error 14.265995 in direction 0
best m,c is 1.600000,12.450000 with error 14.262382 in direction 0
best m,c is 1.600000,12.460000 with error 14.258774 in direction 0
best m,c is 1.600000,12.470000 with error 14.255173 in direction 0
best m,c is 1.600000,12.480000 with error 14.251578 in direction 0
best m,c is 1.600000,12.490000 with error 14.247989 in direction 0
best m,c is 1.600000,12.500000 with error 14.244406 in direction 0
best m,c is 1.600000,12.510000 with error 14.240829 in direction 0
best m,c is 1.600000,12.520000 with error 14.237258 in direction 0
best m,c is 1.600000,12.530000 with error 14.233694 in direction 0
best m,c is 1.600000,12.540000 with error 14.230135 in direction 0
best m,c is 1.600000,12.550000 with error 14.226583 in direction 0
best m,c is 1.600000,12.560000 with error 14.223037 in direction 0
best m,c is 1.600000,12.570000 with error 14.219497 in direction 0
best m,c is 1.600000,12.580000 with error 14.215963 in direction 0
best m,c is 1.600000,12.590000 with error 14.212436 in direction 0
best m,c is 1.600000,12.600000 with error 14.208914 in direction 0
best m,c is 1.600000,12.610000 with error 14.205399 in direction 0
best m,c is 1.600000,12.620000 with error 14.201889 in direction 0
best m,c is 1.600000,12.630000 with error 14.198386 in direction 0
best m,c is 1.600000,12.640000 with error 14.194890 in direction 0
best m,c is 1.600000,12.650000 with error 14.191399 in direction 0
best m,c is 1.600000,12.660000 with error 14.187915 in direction 0
best m,c is 1.600000,12.670000 with error 14.184436 in direction 0
best m,c is 1.600000,12.680000 with error 14.180964 in direction 0
best m,c is 1.600000,12.690000 with error 14.177498 in direction 0
best m,c is 1.600000,12.700000 with error 14.174039 in direction 0
best m,c is 1.600000,12.710000 with error 14.170585 in direction 0
best m,c is 1.600000,12.720000 with error 14.167138 in direction 0
best m,c is 1.600000,12.730000 with error 14.163697 in direction 0
best m,c is 1.600000,12.740000 with error 14.160262 in direction 0
best m,c is 1.600000,12.750000 with error 14.156834 in direction 0
best m,c is 1.600000,12.760000 with error 14.153411 in direction 0
best m,c is 1.600000,12.770000 with error 14.149995 in direction 0
best m,c is 1.600000,12.780000 with error 14.146585 in direction 0
best m,c is 1.600000,12.790000 with error 14.143182 in direction 0
best m,c is 1.600000,12.800000 with error 14.139785 in direction 0
best m,c is 1.600000,12.810000 with error 14.136393 in direction 0
best m,c is 1.600000,12.820000 with error 14.133009 in direction 0
best m,c is 1.600000,12.830000 with error 14.129630 in direction 0
best m,c is 1.600000,12.840000 with error 14.126258 in direction 0
best m,c is 1.600000,12.850000 with error 14.122892 in direction 0
best m,c is 1.600000,12.860000 with error 14.119532 in direction 0
best m,c is 1.600000,12.870000 with error 14.116179 in direction 0
best m,c is 1.600000,12.880000 with error 14.112832 in direction 0
best m,c is 1.600000,12.890000 with error 14.109491 in direction 0
best m,c is 1.600000,12.900000 with error 14.106156 in direction 0
best m,c is 1.600000,12.910000 with error 14.102828 in direction 0
best m,c is 1.600000,12.920000 with error 14.099506 in direction 0
best m,c is 1.600000,12.930000 with error 14.096190 in direction 0
best m,c is 1.590000,12.940000 with error 14.092760 in direction 7
best m,c is 1.590000,12.950000 with error 14.089097 in direction 0
best m,c is 1.590000,12.960000 with error 14.085439 in direction 0
best m,c is 1.590000,12.970000 with error 14.081788 in direction 0
best m,c is 1.590000,12.980000 with error 14.078143 in direction 0
best m,c is 1.590000,12.990000 with error 14.074503 in direction 0
best m,c is 1.590000,13.000000 with error 14.070871 in direction 0
